GuideTag,Mode,LambdaCont,Mean_DoA_RMSE_Stage2,Mean_DoA_RMSE_Selected,Mean_Pos_RMSE,Mean_UsedJointRatio,Mean_CandidateCount
default_step3,joint_wls,0,40.5677739367197,40.7521294508228,2.59631699418426,1,1.99404761904762
default_step3,joint_wls,0.02,40.5677739367197,30.7700251728903,1.77699354889548,1,1.99404761904762
default_step3,joint_wls,0.05,40.5677739367197,30.7700251728903,1.77699354889548,1,1.99404761904762
default_step3,joint_wls,0.1,40.5677739367197,30.7700251728903,1.77699354889548,1,1.99404761904762
default_step3,joint_wls,0.2,40.5677739367197,30.7700251728903,1.77699354889548,1,1.99404761904762
default_step3,joint_wls,0.5,40.5677739367197,30.7700251728903,1.77699354889548,1,1.99404761904762
default_step3,joint_wls,1,40.5677739367197,30.7700251728903,1.77699354889548,1,1.99404761904762
default_step3,single,0,40.5677739367197,40.5677739367197,2.61245171698823,0,0
height1m_23R1,joint_wls,0,30.1410379347252,30.3920442067374,1.96093873993685,1,3.01190476190476
height1m_23R1,joint_wls,0.02,30.1410379347252,24.997193906307,1.70666542888772,1,3.01190476190476
height1m_23R1,joint_wls,0.05,30.1410379347252,23.0184125025326,1.51987729376291,1,3.01190476190476
height1m_23R1,joint_wls,0.1,30.1410379347252,23.0184125025326,1.51987729376291,1,3.01190476190476
height1m_23R1,joint_wls,0.2,30.1410379347252,23.0184125025326,1.51987729376291,1,3.01190476190476
height1m_23R1,joint_wls,0.5,30.1410379347252,23.0184125025326,1.51987729376291,1,3.01190476190476
height1m_23R1,joint_wls,1,30.1410379347252,23.0184125025326,1.51987729376291,1,3.01190476190476
height1m_23R1,single,0,30.1410379347252,30.1410379347252,1.93462688474504,0,0
