"x_coord [mm]","y_coord [mm]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
750,-1750,6.24,0.00058568101643816,66.4591334828636,0.000638212439072965,65.6502900786472
750,-1750,6.241,0.000587258465424407,62.1618995602925,0.000646588746923646,68.5776876956309
750,-1750,6.242,0.000584914162224856,57.8331443426321,0.000673217892250075,70.8503126662303
750,-1750,6.243,0.000578583326359033,53.5458151176122,0.000714106011186425,72.044200253
750,-1750,6.244,0.000568419202942373,49.3694266707657,0.000764623800871168,72.0506091513057
750,-1750,6.245,0.000554727187498896,45.368183381585,0.000820559016222363,70.9663967942857
750,-1750,6.246,0.000537893911316917,41.6028423895192,0.000878524866949151,68.9709597553477
750,-1750,6.247,0.000518338028261576,38.1362740203091,0.000935948265085887,66.2509960958712
750,-1750,6.248,0.000496503063474003,35.0417483593425,0.000990899042144658,62.969471267287
750,-1750,6.249,0.000472899626274932,32.4118782113423,0.00104190630985961,59.2590569310111
750,-1750,6.25,0.000448188365547772,30.364985336628,0.00108781402570684,55.2255549406367
750,-1750,6.251,0.000423281036157666,29.0443000392829,0.00112768142351082,50.9540958690397
750,-1750,6.252,0.000399427160610832,28.6035642961025,0.0011607193057879,46.5154072891315
750,-1750,6.253,0.000378245586051684,29.1710466503113,0.0011862544802084,41.9715528639608
750,-1750,6.254,0.000361651479010677,30.7870869411995,0.00120372174751218,37.3812596319092
750,-1750,6.255,0.000351631563732419,33.3271309937528,0.00121268896346975,32.8049774347094
750,-1750,6.256,0.000349870116142133,36.4549460640714,0.00121292164293627,28.309547509883
750,-1750,6.257,0.000357346646223186,39.6667394210834,0.00120448808966009,23.9720068549539
750,-1750,6.258,0.000374120431593291,42.4326156280313,0.00118789534017732,19.8816993071021
750,-1750,6.259,0.000399424285868229,44.3486725392316,0.00116423329787371,16.1394854931917
750,-1750,6.26,0.000431959882332271,45.2044410746937,0.00113529209433798,12.8524255794552
750,-1750,6.261,0.000470183878146764,44.9580419744399,0.00110360774498979,10.1220233389938
750,-1750,6.262,0.000512473187858326,43.6740588637473,0.00107238556946478,8.0246188671375
750,-1750,6.263,0.000557188786143051,41.4693876428137,0.00104525591912859,6.58506759263929
750,-1750,6.264,0.000602703346560741,38.4799895860012,0.00102584711898789,5.75048566770743
750,-1750,6.265,0.000647438419012556,34.8439109864723,0.00101723233648265,5.37766633884922
750,-1750,6.266,0.000689922959153993,30.693187604517,0.00102140606656533,5.24848680156264
750,-1750,6.267,0.000728862185300369,26.1497848643037,0.00103899829052157,5.11479583555251
750,-1750,6.268,0.000763197735067728,21.3233353476572,0.00106935415210398,4.75388530812887
750,-1750,6.269,0.000792142833684819,16.309938705405,0.00111091879091709,4.00757880853181
750,-1750,6.27,0.000815184613621752,11.1919461511958,0.0011617213000958,2.79143747794631
750,-1750,6.271,0.00083205596401364,6.03885657922519,0.00121975776777473,1.08061142793474
750,-1750,6.272,0.000842688264901916,0.909417695414626,0.0012831866024248,-1.11242128311568
750,-1750,6.273,0.00084716157477729,-4.14515075996305,0.00135036004311578,-3.75676299350333
750,-1750,6.274,0.000845668797159203,-9.07713849923611,0.00141976627694058,-6.81464648142113
750,-1750,6.275,0.000838505196252853,-13.8380957923604,0.00148995359834743,-10.2466188262097
750,-1750,6.276,0.000826086025994893,-18.3750804993105,0.00155948011528459,-14.0129829357632
750,-1750,6.277,0.000808985832295121,-22.6281720298259,0.00162690272024507,-18.0737466584141
750,-1750,6.278,0.000787986269102571,-26.5299873157214,0.00169079938286237,-22.3883337606668
750,-1750,6.279,0.000764116591126156,-30.0079107791293,0.00174981176483748,-26.9154723468551
750,-1750,6.28,0.00073867184290905,-32.989788772048,0.00180269712218923,-31.6132398062879
750,-1750,6.281,0.000713196256420639,-35.4138298568795,0.00184838381980169,-36.4391544013343
750,-1750,6.282,0.000689421564859631,-37.2430237937243,0.00188602858141979,-41.3503014310831
750,-1750,6.283,0.000669151875951191,-38.4828995869227,0.00191507344310677,-46.3036119108816
750,-1750,6.284,0.00065409229385839,-39.1984159376892,0.00193529669414285,-51.2564757813175
750,-1750,6.285,0.000645634132269564,-39.5221082267452,0.00194684744820152,-56.1678317998244
750,-1750,6.286,0.000644636853538464,-39.6446821842313,0.00195025114934063,-60.9997435315372
750,-1750,6.287,0.00065127161260794,-39.7850957571304,0.00194637565853717,-65.7192843986932
750,-1750,6.288,0.00066498720907044,-40.1486600363194,0.0019363552454595,-70.3003711375626
750,-1750,6.289,0.000684616045708064,-40.8898731889724,0.00192148121757444,-74.7250758996789
750,-1750,6.29,0.000708581837495541,-42.0935344559931,0.0019030793626798,-78.9839894449024
750,-1750,6.291,0.000735141999153392,-43.7763344039398,0.00188240095304521,-83.0754402259934
750,-1750,6.292,0.000762607091327347,-45.9018025525834,0.00186055203236997,-87.0037597851073
750,-1750,6.293,0.000789506921857606,-48.3995175551501,0.0018384740096936,-90.7771905939193
750,-1750,6.294,0.000814695577160588,-51.1824730186582,0.00181697049121503,-94.4062552270537
750,-1750,6.295,0.000837399466552344,-54.1601679379575,0.00179675776703176,-97.9032826247422
750,-1750,6.296,0.000857217515912711,-57.2472792945213,0.00177850728736416,-101.283313137937
750,-1750,6.297,0.000874085733399428,-60.3686692421391,0.00176285205600942,-104.565953209999
750,-1750,6.298,0.000888221081513237,-63.4616525404864,0.00175034436166017,-107.777202994992
750,-1750,6.299,0.000900060655852847,-66.4764483283492,0.00174137367951819,-110.950109972578
750,-1750,6.3,0.000910209348484056,-69.3757691779407,0.00173607206343555,-114.123452000654
750,-1750,6.301,0.000919401708635544,-72.1344898452027,0.00173424165352851,-117.338421992571
750,-1750,6.302,0.000928473577458368,-74.7401156597346,0.00173533172018479,-120.634124199341
750,-1750,6.303,0.000938330420607476,-77.1942153140766,0.00173847449307268,-124.043174810681
750,-1750,6.304,0.000949896993268809,-79.5141538307116,0.00174256847513028,-127.588585304011
750,-1750,6.305,0.000964040426762802,-81.7336930526865,0.00174638435212859,-131.282499083316
750,-1750,6.306,0.000981474702580013,-83.9008655327919,0.00174866700765956,-135.126615780229
750,-1750,6.307,0.00100267147446095,-86.0723735440228,0.00174821571542118,-139.113639237786
750,-1750,6.308,0.00102780975723641,-88.3054199011709,0.00174393754849091,-143.228968718019
750,-1750,6.309,0.0010567879531106,-90.6494223267349,0.00173488008350197,-147.452046746046
750,-1750,6.31,0.00108929839807912,-93.1404420013825,0.00172025495554023,-151.757105041295
750,-1750,6.311,0.00112493860226894,-95.8000494997298,0.00169946312291528,-156.113356250533
750,-1750,6.312,0.00116331786912752,-98.6384473087813,0.00167212750144494,-160.48487592692
750,-1750,6.313,0.00120411986249069,-101.660047126675,0.00163813177976607,-164.830488839317
750,-1750,6.314,0.00124709901078356,-104.869045682559,0.0015976584155684,-169.103944922528
750,-1750,6.315,0.00129201375465606,-108.272910900863,0.00155121584968769,-173.254589576199
750,-1750,6.316,0.00133852304908809,-111.882755019728,0.00149964552414659,-177.228645764034
750,-1750,6.317,0.00138608560896063,-115.710860647102,0.00144410269215186,179.028834286222
750,-1750,6.318,0.00143389937598956,-119.766648039893,0.00138600980443971,175.57131649381
750,-1750,6.319,0.00148090292937478,-124.05275833552,0.00132698590211994,172.44740787961
750,-1750,6.32,0.00152583812467811,-128.562603330589,0.00126875864150206,169.696748240791
750,-1750,6.321,0.00156735357574329,-133.279952743334,0.00121306632518653,167.345237321887
750,-1750,6.322,0.00160411885551456,-138.180313296144,0.00116155559816915,165.399877186008
750,-1750,6.323,0.00163492143500849,-143.233328877934,0.0011156779846133,163.843944045394
750,-1750,6.324,0.00165872931924316,-148.405296981327,0.0010765880750982,162.633820262235
750,-1750,6.325,0.00167471669975376,-153.661059723662,0.00104505035772609,161.699317109503
750,-1750,6.326,0.00168226277642498,-158.964838517298,0.00102137000358734,160.949132906059
750,-1750,6.327,0.00168094159070243,-164.27992602862,0.0010053703038642,160.28171374735
750,-1750,6.328,0.00167052143491648,-169.567451068468,0.000996437693093632,159.599454748646
750,-1750,6.329,0.00165098662097343,-174.78464548936,0.000993639743969766,158.822183065873
750,-1750,6.33,0.00162258446898165,-179.883152808706,0.000995897364100646,157.895670128912
750,-1750,6.331,0.00158588956409832,175.192062919683,0.00100217154824646,156.792812924786
750,-1750,6.332,0.00154186896570013,170.502690426303,0.00101161759677881,155.507932098112
750,-1750,6.333,0.00149192835235952,166.115460306619,0.00102366793436058,154.04684630077
750,-1750,6.334,0.00143792025145601,162.098516332924,0.00103802427488624,152.41628356514
750,-1750,6.335,0.00138210029011744,158.515386920416,0.00105456471787738,150.615918129299
750,-1750,6.336,0.00132702401905338,155.416373866395,0.00107319575035724,148.635239112854
750,-1750,6.337,0.00127538415009697,152.827734396163,0.00109369655337047,146.455821009354
750,-1750,6.338,0.00122979621187821,150.740147268442,0.00111560635215761,144.057735801739
750,-1750,6.339,0.00119255136843685,149.09951995711,0.00113819126835434,141.427476418767
750,-1750,6.34,0.00116536926040331,147.804423765043,0.00116049992118861,138.564496309308
750,-1750,6.341,0.00114919708799042,146.713887349413,0.00118148829763275,135.484387340237
750,-1750,6.342,0.00114410330454182,145.665936786457,0.00120017606629209,132.218217267677
750,-1750,6.343,0.00114929565847871,144.502310798597,0.00121579345794795,128.808805672794
750,-1750,6.344,0.00116325762325392,143.091554198463,0.00122788736719421,125.30529049684
750,-1750,6.345,0.00118396374795894,141.343783717424,0.00123637060833751,121.757280642503
750,-1750,6.346,0.0012091219503074,139.214841562168,0.00124151331546307,118.209522509393
750,-1750,6.347,0.00123640080413895,136.701889886484,0.00124388658038127,114.697600425843
750,-1750,6.348,0.00126361901130564,133.834387735396,0.00124427420256118,111.244879132556
750,-1750,6.349,0.0012888894040576,130.663957971754,0.00124356893315301,107.860710566878
750,-1750,6.35,0.0013107173342437,127.255261486666,0.00124266637277497,104.539860431403
750,-1750,6.351,0.00132805599256066,123.678728826474,0.00124236508550971,101.263127344038
750,-1750,6.352,0.00134032280207125,120.005228565135,0.00124327784969396,97.9991794916247
750,-1750,6.353,0.00134738343077248,116.302401010292,0.00124575806112515,94.7076456222703
750,-1750,6.354,0.00134951271094918,112.632251125088,0.00124984706016412,91.3433748652766
750,-1750,6.355,0.00134734307966332,109.049534660622,0.00125525027113778,87.8615008904701
750,-1750,6.356,0.00134180982388226,105.600431638633,0.00126134955233014,84.2226219532799
750,-1750,6.357,0.00133409799134589,102.320991500145,0.00126725467837137,80.3972249091181
750,-1750,6.358,0.00132558906267631,99.2349262092061,0.00127188904696158,76.3685819550542
750,-1750,6.359,0.00131779877038126,96.3506158572792,0.00127409675038396,72.1337292416344
750,-1750,6.36,0.00131229418677263,93.6577149113299,0.0012727533419201,67.7026307796794
750,-1750,6.361,0.0013105813831583,91.124405371355,0.00126686293711677,63.0960315899916
750,-1750,6.362,0.00131396547759771,88.6968380407748,0.00125562896012313,58.3426875158959
750,-1750,6.363,0.00132339995153766,86.3022046386515,0.00123849302572754,53.4766347966265
750,-1750,6.364,0.00133935492600969,83.8559125008824,0.00121514368730612,48.5350040337057
