"x_coord [mm]","y_coord [mm]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
750,-1750,6.24,0.000154869260079639,-171.934453422519,0.00188675987094058,-120.08418975219
750,-1750,6.241,0.000207467095276408,174.351798677036,0.00191937017928083,-122.314015859804
750,-1750,6.242,0.000255332345783336,163.021253742267,0.00194709237795837,-124.704534095173
750,-1750,6.243,0.000297234701687992,153.024320987431,0.001969923014578,-127.197059714009
750,-1750,6.244,0.000332566223048961,143.974678968489,0.00198814166582184,-129.751498675672
750,-1750,6.245,0.000361170965973397,135.719426095861,0.00200199670992475,-132.341510224905
750,-1750,6.246,0.000383287495652741,128.203861525611,0.00201151707308374,-134.946764905772
750,-1750,6.247,0.000399507046688346,121.417737193844,0.00201649330715693,-137.544125956319
750,-1750,6.248,0.000410720092982639,115.36858571859,0.00201664145343759,-140.099902548206
750,-1750,6.249,0.000418044099443074,110.065608728006,0.0020119234550448,-142.565408751434
750,-1750,6.25,0.00042273818650353,105.509069475115,0.00200295615781993,-144.877849229926
750,-1750,6.251,0.00042612277972973,101.683897970425,0.0019914040872589,-146.968144572996
750,-1750,6.252,0.000429529978676661,98.5564683358172,0.00198022275782816,-148.776544619756
750,-1750,6.253,0.00043430470768336,96.0716784965655,0.00197360635078956,-150.275016800201
750,-1750,6.254,0.000441851231415624,94.145700640464,0.00197651820640086,-151.491482482013
750,-1750,6.255,0.000453679491530055,92.6515560352344,0.00199378350474635,-152.525596588462
750,-1750,6.256,0.000471374160661299,91.4023877512884,0.00202891797505236,-153.54334899044
750,-1750,6.257,0.000496421520520648,90.147407894719,0.00208307630575975,-154.744817507667
750,-1750,6.258,0.000529903890018343,88.5965682736847,0.0021545507514549,-156.315425671134
750,-1750,6.259,0.000572170485053756,86.4731585543174,0.00223902626857495,-158.382973376613
750,-1750,6.26,0.000622631196492789,83.570174811529,0.00233044501302455,-160.998050694674
750,-1750,6.261,0.000679753335974853,79.7817291832292,0.00242211805631268,-164.139363216714
750,-1750,6.262,0.000741233865397745,75.100154094785,0.00250774890078394,-167.733491247487
750,-1750,6.263,0.000804261120750363,69.590651011976,0.00258218878881054,-171.677432714368
750,-1750,6.264,0.000865788452575457,63.3609124234173,0.00264188406116914,-175.857313686682
750,-1750,6.265,0.000922777538886186,56.5366739360528,0.00268504738893774,179.838342993696
750,-1750,6.266,0.00097239719680367,49.2462596619766,0.00271160387664518,175.509816290138
750,-1750,6.267,0.00101217716359876,41.6128707064483,0.00272296046182724,171.24030510661
750,-1750,6.268,0.00104012135877369,33.7522529181472,0.00272164179497821,167.091844104076
750,-1750,6.269,0.001054787059785,25.7737402710401,0.00271083538269,163.102632452549
750,-1750,6.27,0.00105533729885377,17.7833649053777,0.00269389479562872,159.286075332856
750,-1750,6.271,0.00104157389050813,9.88830587849773,0.00267385958607137,155.632225675004
750,-1750,6.272,0.00101395759581578,2.20230853068556,0.00265305824363257,152.112207268013
750,-1750,6.273,0.000973619842628305,-5.14816358143184,0.00263285765408254,148.685542251523
750,-1750,6.274,0.000922367390157801,-12.0174260965573,0.00261360263596888,145.30932083825
750,-1750,6.275,0.000862677644131539,-18.2347190252772,0.00259475258975356,141.947332365604
750,-1750,6.276,0.000797677138753428,-23.6015277864564,0.00257517938506022,138.577106014318
750,-1750,6.277,0.000731085931537864,-27.8977115177178,0.00255355596762631,135.193383994493
750,-1750,6.278,0.000667090759565334,-30.9069507836039,0.00252874928464419,131.807530391941
750,-1750,6.279,0.000610076747881901,-32.4756179726047,0.00250013498172363,128.443294422908
750,-1750,6.28,0.000564123283508011,-32.6094711388851,0.00246776969207848,125.129951580145
750,-1750,6.281,0.000532239033010168,-31.5711295714242,0.00243238404652024,121.894197721421
750,-1750,6.282,0.000515573566305569,-29.8846531416602,0.00239519360213642,118.752454494639
750,-1750,6.283,0.000513136850725613,-28.1802815016477,0.00235756522773051,115.705488664727
750,-1750,6.284,0.000522374797304934,-26.9680163021656,0.00232061897401783,112.737194995622
750,-1750,6.285,0.000540258448955408,-26.515763334388,0.0022848770760717,109.818629216234
750,-1750,6.286,0.000564181211423672,-26.8838609495778,0.00225007352527622,106.916785354835
750,-1750,6.287,0.000592292367937398,-28.0280790482239,0.00221519741147125,104.005740990259
750,-1750,6.288,0.000623357757118735,-29.8827131781795,0.00217876963796118,101.076685943542
750,-1750,6.289,0.000656411811759476,-32.3970901585112,0.00213927592621817,98.1436997691044
750,-1750,6.29,0.000690422503811078,-35.5371326039037,0.00209563185167923,95.2436662491921
750,-1750,6.291,0.000724089979974969,-39.2718584796942,0.00204755228238714,92.4304303665691
750,-1750,6.292,0.000755808266497915,-43.5595073360252,0.00199572878237768,89.7644579379673
750,-1750,6.293,0.000783757664601353,-48.3398597007102,0.00194176607781847,87.2998567623328
750,-1750,6.294,0.000806069655032252,-53.5329336468156,0.00188788049744975,85.0711556332284
750,-1750,6.295,0.000821010302836198,-59.0411996163915,0.00183641630064347,83.0830236236083
750,-1750,6.296,0.000827147615349205,-64.7521850096812,0.00178928843829529,81.3067031301295
750,-1750,6.297,0.000823489118997118,-70.539355260782,0.00174750009478517,79.686175985117
750,-1750,6.298,0.000809590958810606,-76.2602851725987,0.00171088525099399,78.1541382196848
750,-1750,6.299,0.000785647933105362,-81.7519656560162,0.00167817056083338,76.6536641027817
750,-1750,6.3,0.000752576446909832,-86.8238317749646,0.00164735098201942,75.1587089092688
750,-1750,6.301,0.000712100598506808,-91.2504106193328,0.00161627950523557,73.6873601696731
750,-1750,6.302,0.000666844133026928,-94.7686327731221,0.00158332963033083,72.3050418090678
750,-1750,6.303,0.000620409227996717,-97.0917225834196,0.00154800406643414,71.1177092780762
750,-1750,6.304,0.000577367337644974,-97.9625668111672,0.00151139826607541,70.2553757534508
750,-1750,6.305,0.000542981114245463,-97.2737488649241,0.00147644023297875,69.8446376501701
750,-1750,6.306,0.000522389793585343,-95.2407613260116,0.00144780133245303,69.96833814096
750,-1750,6.307,0.000519209070049191,-92.4977922115554,0.00143133741367706,70.6160028333451
750,-1750,6.308,0.000534227056762253,-89.9277211546422,0.00143297078563878,71.6431629947663
750,-1750,6.309,0.000565306730204975,-88.2816478807853,0.00145717224813566,72.7720730515587
750,-1750,6.31,0.000608636855699791,-87.9253874396637,0.00150558346629499,73.6555927721041
750,-1750,6.311,0.000660251838683221,-88.8749458264104,0.00157645458065348,73.9806895327557
750,-1750,6.312,0.000716916703230458,-90.9681349223716,0.00166515774022563,73.5516296548804
750,-1750,6.313,0.000776309862596839,-94.0050049991252,0.00176540596693389,72.3125583199017
750,-1750,6.314,0.000836812235388413,-97.8154488589619,0.001870561695776,70.3187589332713
750,-1750,6.315,0.000897169657940083,-102.276214216136,0.0019746330379732,67.6899523844484
750,-1750,6.316,0.000956178205177712,-107.304024216237,0.00207286292158318,64.5700182372574
750,-1750,6.317,0.0010124645214183,-112.841133770944,0.00216197791974504,61.1006309755775
750,-1750,6.318,0.0010643871866843,-118.841376554617,0.00224019135019473,57.4067780982753
750,-1750,6.319,0.0011100533723503,-125.25994038985,0.00230703373983635,53.5899586046884
750,-1750,6.32,0.00114742376507608,-132.047395193989,0.00236306367100627,49.7258764144503
750,-1750,6.321,0.00117446909188316,-139.147072188925,0.00240950653788496,45.8649533504085
750,-1750,6.322,0.00118934280645005,-146.494364307202,0.00244787320580783,42.0349993306411
750,-1750,6.323,0.00119054302390134,-154.016561734657,0.00247961538640846,38.24573806733
750,-1750,6.324,0.00117704796322259,-161.632129570288,0.00250587108826486,34.4947388482198
750,-1750,6.325,0.00114841944019156,-169.248617022651,0.00252733709639341,30.7739310072026
750,-1750,6.326,0.0011048769597214,-176.75852251091,0.00254427787383058,27.0755994897584
750,-1750,6.327,0.0010473505819221,175.967595696854,0.00255664944955232,23.396806397741
750,-1750,6.328,0.000977524604516218,169.091615608541,0.00256429315650429,19.7415640781297
750,-1750,6.329,0.000897887389715434,162.822803684083,0.00256714407059538,16.1206181953296
750,-1750,6.33,0.000811805700560615,157.437055818681,0.00256540292916081,12.5491682098304
750,-1750,6.331,0.000723640193146383,153.295582534524,0.00255963356061827,9.04313978977413
750,-1750,6.332,0.000638891286576166,150.84304569926,0.00255076444457844,5.61475304385362
750,-1750,6.333,0.000564248038949084,150.528671573007,0.00253998930256275,2.2682022918766
750,-1750,6.334,0.000507102715587412,152.550529087431,0.00252857733926271,-1.00365252441556
750,-1750,6.335,0.000473749358967078,156.419820794019,0.00251762052336572,-4.22063280176073
750,-1750,6.336,0.000466276931831574,160.783811885116,0.00250776289997296,-7.41381493580212
750,-1750,6.337,0.00048074678323315,164.076545297211,0.00249897135124664,-10.621002574266
750,-1750,6.338,0.000509190577630479,165.426369713217,0.00249041067001571,-13.879586947148
750,-1750,6.339,0.000543347014368553,164.800480330935,0.00248047167562553,-17.2181530215544
750,-1750,6.34,0.000576863771261897,162.591840416606,0.00246696935930558,-20.6486715742205
750,-1750,6.341,0.000605656020712404,159.268071934963,0.00244748828033019,-24.1609421897127
750,-1750,6.342,0.000627484106412638,155.2285666323,0.00241981833300856,-27.7202528109077
750,-1750,6.343,0.000641415690810708,150.778440726275,0.00238240544313466,-31.2684356891721
750,-1750,6.344,0.000647371613049996,146.142177984211,0.00233474026291373,-34.7280401074317
750,-1750,6.345,0.000645780911011599,141.48532449089,0.00227761831005535,-38.0093411064293
750,-1750,6.346,0.000637337969386716,136.935405253258,0.00221322048906621,-41.0201690972114
750,-1750,6.347,0.000622856629393149,132.60076353054,0.00214497987963861,-43.6786576439064
750,-1750,6.348,0.000603217343749201,128.587467059607,0.00207722129695246,-45.928440014714
750,-1750,6.349,0.000579398548224409,125.013878235015,0.00201459219745579,-47.7541888629576
750,-1750,6.35,0.000552575516278454,122.021149188448,0.00196135507147451,-49.1929709237033
750,-1750,6.351,0.000524261615786558,119.775557650442,0.00192067802561729,-50.3353160705734
750,-1750,6.352,0.000496454877768538,118.454549459854,0.00189410916336063,-51.3117807505114
750,-1750,6.353,0.000471727019739981,118.203451712979,0.00188139873630373,-52.2670440862652
750,-1750,6.354,0.000453145206629316,119.051589752233,0.00188071780399326,-53.3306150238658
750,-1750,6.355,0.000443882001753728,120.803662234473,0.00188916871059275,-54.5950907500196
750,-1750,6.356,0.000446465168842243,122.982494481421,0.00190339099964687,-56.107843385022
750,-1750,6.357,0.000461938521672677,124.924759624538,0.0019200856793826,-57.874662288817
750,-1750,6.358,0.000489472694798165,126.01455089512,0.00193637179123703,-59.8697373825338
750,-1750,6.359,0.000526694577074063,125.881536950247,0.00194997821630667,-62.0466436215215
750,-1750,6.36,0.000570421008738144,124.434598297802,0.00195931842301822,-64.34743404399
750,-1750,6.361,0.000617319398191193,121.775069769214,0.00196349787669387,-66.7092178054359
750,-1750,6.362,0.000664300035356303,118.093538374961,0.00196228521228273,-69.0687642006681
750,-1750,6.363,0.000708695878799768,113.601631572763,0.00195605947269191,-71.3658972251358
750,-1750,6.364,0.000748337940720562,108.499582307339,0.00194573719132704,-73.5462017659155
750,-1750,6.365,0.000781592258144725,102.965141489895,0.00193268552942703,-75.5632773433662
750,-1750,6.366,0.000807379445011444,97.1519625556344,0.00191863470666002,-77.3806901180202
750,-1750,6.367,0.000825173681657104,91.1909354211277,0.0019056056294682,-78.9739464954869
750,-1750,6.368,0.000834970718589247,85.1916391708099,0.00189585924756842,-80.3330813175447
750,-1750,6.369,0.000837217098412937,79.2430772197794,0.00189185206490816,-81.466458936037
750,-1750,6.37,0.000832700739823083,73.4138776635097,0.00189615654989972,-82.4057082467863
750,-1750,6.371,0.000822413207484263,67.7526629832811,0.00191129404998598,-83.2102436874782
750,-1750,6.372,0.000807403510633425,62.2894835888517,0.00193944999277147,-83.9682190779828
750,-1750,6.373,0.000788649044099838,57.0390534088068,0.00198209993752313,-84.7904796457924
750,-1750,6.374,0.000766968373321758,52.0059841433042,0.00203964523042948,-85.7963875161475
750,-1750,6.375,0.000742991413251788,47.1914057112496,0.00211119162695901,-87.094661323719
750,-1750,6.376,0.000717186952707387,42.5996253703167,0.00219456944262349,-88.7656677529668
750,-1750,6.377,0.000689931069532657,38.2432067339047,0.00228660421788949,-90.8511754963844
750,-1750,6.378,0.000661589469487147,34.1451886810538,0.00238355745933152,-93.3537867950076
750,-1750,6.379,0.000632585988707661,30.3379325244305,0.00248161498195564,-96.2441214602142
750,-1750,6.38,0.000603437816191314,26.8589344212647,0.00257731135509831,-99.4718377980018
750,-1750,6.381,0.000574751292383582,23.7445674984901,0.00266781920329313,-102.976894550016
750,-1750,6.382,0.000547184960330149,21.0229945663145,0.002751076733975,-106.698835300083
750,-1750,6.383,0.000521394485647143,18.7074486678858,0.0028257634742124,-110.583186583584
750,-1750,6.384,0.000497975255784456,16.7908313840723,0.00289116004789902,-114.584887249466
750,-1750,6.385,0.000477413713451728,15.2422907013044,0.00294694337450376,-118.669084070911
750,-1750,6.386,0.000460051055265084,14.0063463185645,0.00299297353288948,-122.809840510034
750,-1750,6.387,0.000446057941958058,13.0053180691387,0.00302912216691262,-126.987433242989
750,-1750,6.388,0.000435419877801219,12.1458801793652,0.00305517637873174,-131.184967030046
750,-1750,6.389,0.000427938340310779,11.3297754029759,0.0030708311187266,-135.384996088881
750,-1750,6.39,0.00042325629714041,10.4668505281187,0.00307576324420998,-139.566692770161
750,-1750,6.391,0.00042091228680135,9.48661310042901,0.00306976676263133,-143.703901823975
750,-1750,6.392,0.000420414666612435,8.34416351043361,0.0030529233449356,-147.764246552992
750,-1750,6.393,0.000421314294237329,7.01841050122209,0.00302578252960155,-151.70938977834
750,-1750,6.394,0.000423249095013643,5.50389723390432,0.00298952755381508,-155.496618001912
750,-1750,6.395,0.000425942138336138,3.80044067934055,0.00294610066432406,-159.082054597244
750,-1750,6.396,0.000429153671064497,1.90575850902407,0.00289825449524463,-162.425879599921
750,-1750,6.397,0.000432609593184742,-0.185041600112066,0.00284948673549501,-165.499726887943
750,-1750,6.398,0.000435944230978652,-2.47234000209149,0.00280381276455025,-168.295710208624
750,-1750,6.399,0.000438695281980793,-4.94009387583398,0.00276534878212142,-170.835216674508
750,-1750,6.4,0.000440371640184584,-7.54434025901249,0.00273772786963166,-173.174117276914
750,-1750,6.401,0.000440587814614123,-10.2074226312465,0.00272344987702505,-175.400520252473
750,-1750,6.402,0.000439233136783472,-12.8217775233717,0.00272333985232538,-177.622984481891
750,-1750,6.403,0.000436626806474767,-15.2655724087597,0.0027363038931516,-179.951255204257
750,-1750,6.404,0.000433600925151503,-17.4312635124976,0.00275949081130324,177.524282918319
750,-1750,6.405,0.000431452061026778,-19.2652482854726,0.00278882310929206,174.747334734212
750,-1750,6.406,0.000431716599404958,-20.8090202438393,0.00281973439832421,171.700596904333
750,-1750,6.407,0.000435777725812948,-22.2206704385243,0.00284790742943802,168.401382578039
750,-1750,6.408,0.000444408984434043,-23.752516797397,0.00286984704862476,164.891479275002
750,-1750,6.409,0.000457443692721861,-25.6818676919248,0.00288320045665073,161.225180633012
750,-1750,6.41,0.000473730055138946,-28.2276656739872,0.00288681072901754,157.458338955578
750,-1750,6.411,0.000491378112489531,-31.4974107284765,0.00288054147498984,153.639987236982
750,-1750,6.412,0.000508160210305251,-35.481655694572,0.00286494249389257,149.807214909957
750,-1750,6.413,0.000521905829218928,-40.08032089958,0.00284084374954632,145.983525111356
750,-1750,6.414,0.000530803946077862,-45.135939250378,0.00280896972549451,142.180580668591
750,-1750,6.415,0.000533601473298155,-50.4587403110907,0.00276965612110082,138.402866939885
750,-1750,6.416,0.000529722811242243,-55.8402742973369,0.00272272578702086,134.654381530503
750,-1750,6.417,0.00051934037382154,-61.0588923358189,0.0026675453014915,130.946173594113
750,-1750,6.418,0.000503415592124652,-65.8833651310803,0.00260324762368401,127.303563128469
750,-1750,6.419,0.000483710817923813,-70.0834906439866,0.00252908042518318,123.772156007452
