"inc_ang [deg]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
-90,6.24,0.00139238653509469,111.862939360769,0.00180142900737744,-47.9844602068871
-90,6.241,0.00139293684129127,109.193741786225,0.00180240601250623,-50.6762578961922
-90,6.242,0.00139348517103943,106.524500530677,0.00180337936565847,-53.3680911011217
-90,6.243,0.00139403152190556,103.855215799412,0.00180434906605099,-56.0599595902174
-90,6.244,0.00139457589232203,101.185887790455,0.00180531510857137,-58.7518631989094
-90,6.245,0.00139511827753512,98.5165167323177,0.00180627749040384,-61.4438017112237
-90,6.246,0.00139565867504506,95.8471028183552,0.00180723620852773,-64.1357749501672
-90,6.247,0.00139619708338235,93.1776462553321,0.00180819126020707,-66.8277827397652
-90,6.248,0.00139673349875951,90.5081472542021,0.00180914264148312,-69.5198248803706
-90,6.249,0.00139726791907032,87.8386060198668,0.00181009035026877,-72.2119011945417
-90,6.25,0.00139780034124451,85.1690227603079,0.00181103438255585,-74.9040114909318
-90,6.251,0.00139833076203582,82.4993976739594,0.00181197473446352,-77.5961555725972
-90,6.252,0.00139885917920772,79.8297309723002,0.00181291140439099,-80.2883332769883
-90,6.253,0.00139938559126376,77.1600228627133,0.00181384438851424,-82.9805444091876
-90,6.254,0.00139990999254505,74.490273534586,0.00181477368366834,-85.6727887835335
-90,6.255,0.00140043238366262,71.8204832126924,0.00181569928777957,-88.3650662256361
-90,6.256,0.00140095275939993,69.150652075397,0.00181662119579596,-91.057376547179
-90,6.257,0.00140147111929088,66.480780357382,0.0018175394061454,-93.7497195685942
-90,6.258,0.00140198745901952,63.8108682316143,0.00181845391604453,-96.4420951105818
-90,6.259,0.00140250177655364,61.1409159172772,0.00181936472158693,-99.1345029881663
-90,6.26,0.00140301406902299,58.4709235976262,0.00182027181982508,-101.826943028985
-90,6.261,0.00140352433460932,55.8008915035419,0.00182117520856874,-104.519415048784
-90,6.262,0.00140403257006593,53.1308198177271,0.00182207488410326,-107.211918868734
-90,6.263,0.00140453877271515,50.460708735695,0.00182297084366824,-109.904454312975
-90,6.264,0.0014050429403647,47.7905584633844,0.00182386308438406,-112.597021202847
-90,6.265,0.00140554507011611,45.1203692013115,0.00182475160365009,-115.289619357101
-90,6.266,0.00140604515963924,42.4501411544176,0.00182563639691185,-117.982248623286
-90,6.267,0.00140654320658807,39.7798745131313,0.00182651746350487,-120.674908792979
-90,6.268,0.00140703920866155,37.1095694652482,0.00182739479944252,-123.367599709225
-90,6.269,0.00140753316230307,34.4392262367473,0.0018282684017357,-126.060321178468
-90,6.27,0.00140802506613874,31.7688450042332,0.00182913826785577,-128.753073053291
-90,6.271,0.00140851491621513,29.098425997981,0.00183000439504613,-131.445855172562
-90,6.272,0.00140900271238665,26.4279693580803,0.00183086677933957,-134.138667321499
-90,6.273,0.00140948844989078,23.7574753323452,0.00183172541922422,-136.831509331208
-90,6.274,0.00140997212781344,21.0869440875607,0.00183258031220722,-139.524381062244
-90,6.275,0.00141045374323057,18.4163758312773,0.00183343145395419,-142.217282315871
-90,6.276,0.00141093329339523,15.7457707611221,0.00183427884213597,-144.910212929412
-90,6.277,0.00141141077570073,13.0751290769539,0.00183512247503284,-147.603172747421
-90,6.278,0.00141188618908544,10.4044509595683,0.00183596234923158,-150.296161587786
-90,6.279,0.00141235952957163,7.73373661675028,0.00183679846161159,-152.989179271866
-90,6.28,0.00141283079559419,5.06298623315179,0.00183763080958341,-155.682225639967
-90,6.281,0.00141329998482839,2.39220001113364,0.00183845939071706,-158.375300524773
-90,6.282,0.00141376709424915,-0.278621860337384,0.00183928420220966,-161.068403755622
-90,6.283,0.00141423212284185,-2.94947918637811,0.00184010524125134,-163.7615351658
-90,6.284,0.00141469506785005,-5.62037177238266,0.00184092250568127,-166.454694597265
-90,6.285,0.00141515592569857,-8.2912994274254,0.00184173599146053,-169.147881865803
-90,6.286,0.00141561469459774,-10.9622619604643,0.00184254569759513,-171.84109682176
-90,6.287,0.00141607137375705,-13.6332591664933,0.00184335162096356,-174.534339298284
-90,6.288,0.0014165259594033,-16.304290871916,0.00184415375835515,-177.227609121063
-90,6.289,0.00141697844895783,-18.9753568783214,0.00184495210728766,-179.920906132828
-90,6.29,0.00141742884205007,-21.6464569822414,0.00184574666593229,177.385769831673
-90,6.291,0.00141787713367277,-24.3175910218097,0.00184653743102417,174.692418934348
-90,6.292,0.00141832332413761,-26.9887587746407,0.00184732440094599,171.999041347288
-90,6.293,0.00141876741053525,-29.6599600577166,0.00184810757116072,169.305637218242
-90,6.294,0.00141920938953937,-32.3311947044771,0.00184888694065482,166.612206716869
-90,6.295,0.00141964926096751,-35.0024624728506,0.00184966250672321,163.91875000605
-90,6.296,0.00142008702053944,-37.6737632360448,0.00185043426679324,161.2252672463
-90,6.297,0.00142052266722419,-40.3450967656259,0.00185120221814615,158.531758598787
-90,6.298,0.00142095619829538,-43.0164628990233,0.00185196635852372,155.83822422083
-90,6.299,0.0014213876124693,-45.687861402269,0.00185272668507554,153.14466426973
-90,6.3,0.00142181690676278,-48.359292127597,0.00185348319569232,150.451078908369
-90,6.301,0.00142224407988191,-51.0307548900197,0.00185423588819316,147.75746830478
-90,6.302,0.00142266912933362,-53.7022494884747,0.00185498475982442,145.063832590587
-90,6.303,0.00142309205260475,-56.3737757220585,0.00185572980761889,142.370171957851
-90,6.304,0.0014235128476244,-59.045333412556,0.00185647102932346,139.676486548566
-90,6.305,0.00142393151327604,-61.7169223899134,0.00185720842399895,136.982776501588
-90,6.306,0.00142434804668985,-64.388542452681,0.00185794198725943,134.289042012019
-90,6.307,0.00142476244564527,-67.0601934053309,0.00185867171886043,131.595283212039
-90,6.308,0.0014251747085947,-69.7318750831794,0.00185939761417637,128.901500250896
-90,6.309,0.00142558483354394,-72.4035872906205,0.0018601196721831,126.207693294876
-90,6.31,0.00142599281838686,-75.075329847074,0.00186083789081282,123.513862492264
-90,6.311,0.00142639866154168,-77.7471025665309,0.00186155226661523,120.820008026245
-90,6.312,0.00142680236022564,-80.418905258493,0.00186226279798615,118.126130019196
-90,6.313,0.00142720391198373,-83.0907377357996,0.00186296948326425,115.432228626178
-90,6.314,0.00142760331653418,-85.7625998293062,0.00186367231892102,112.738304016075
-90,6.315,0.00142800057125564,-88.4344913458358,0.00186437130368916,110.04435633025
-90,6.316,0.00142839567314699,-91.1064121038203,0.00186506643506054,107.350385724554
-90,6.317,0.00142878862165482,-93.7783619206754,0.00186575770989732,104.656392358457
-90,6.318,0.00142917941527872,-96.4503406105017,0.00186644512784198,101.962376367627
-90,6.319,0.0014295680500373,-99.1223479943662,0.00186712868430268,99.2683379246341
-90,6.32,0.00142995452581251,-101.794383889942,0.00186780837936997,96.5742771630095
-90,6.321,0.00143033883945561,-104.466448117875,0.0018684842091237,93.8801942428384
-90,6.322,0.0014307209897317,-107.138540495978,0.0018691561735658,91.1860893083617
-90,6.323,0.0014311009758314,-109.810660830805,0.00186982426796837,88.491962514336
-90,6.324,0.00143147879364799,-112.482808965957,0.00187048849149863,85.7978140094319
-90,6.325,0.00143185444300586,-115.154984701349,0.00187114884235631,83.1036439400337
-90,6.326,0.00143222792243091,-117.827187841913,0.00187180531737067,80.4094524558653
-90,6.327,0.00143259922828365,-120.499418252516,0.00187245791516194,77.7152397053129
-90,6.328,0.00143296836016603,-123.171675721447,0.00187310663370879,75.0210058411285
-90,6.329,0.00143333531634055,-125.843960062554,0.00187375147048356,72.3267510016537
-90,6.33,0.00143370009386625,-128.516271131273,0.00187439242444983,69.6324753507976
-90,6.331,0.00143406269233167,-131.18860871165,0.00187502949187976,66.9381790095807
-90,6.332,0.00143442310895076,-133.860972651519,0.0018756626727923,64.2438621590098
-90,6.333,0.00143478134249006,-136.533362754374,0.0018762919628263,61.5495249041437
-90,6.334,0.00143513739121699,-139.205778850864,0.00187691736200484,58.8551674283224
-90,6.335,0.00143549125281261,-141.878220746,0.00187753886714999,56.1607898436742
-90,6.336,0.00143584292715741,-144.550688307824,0.00187815647661104,53.4663923337776
-90,6.337,0.0014361924104003,-147.223181301245,0.00187877018900319,50.7719750246813
-90,6.338,0.00143653970217471,-149.895699581431,0.00187938000193958,48.0775380557041
-90,6.339,0.0014368848001485,-152.568242956719,0.00187998591281742,45.3830815575897
-90,6.34,0.00143722770333044,-155.240811268933,0.00188058791979837,42.6886057003096
-90,6.341,0.00143756841004652,-157.913404335119,0.0018811860219759,39.9941106357031
-90,6.342,0.0014379069182811,-160.586021970959,0.00188178021716509,37.2995964844789
-90,6.343,0.00143824322564959,-163.25866399013,0.00188237050238929,34.6050633849678
-90,6.344,0.00143857733187869,-165.931330241964,0.0018829568778105,31.9105114924498
-90,6.345,0.00143890923478176,-168.604020532845,0.00188353933919715,29.2159409594028
-90,6.346,0.00143923893266267,-171.27673469716,0.00188411788662403,26.5213519009324
-90,6.347,0.00143956642375808,-173.949472552932,0.00188469251752186,23.8267444717295
-90,6.348,0.00143989170789169,-176.622233927517,0.00188526322984096,21.1321188230225
-90,6.349,0.00144021478104046,-179.295018643577,0.00188583002143539,18.4374750903465
-90,6.35,0.00144053564372241,178.032173471598,0.00188639289151301,15.7428134075384
-90,6.351,0.00144085429331325,175.359342593603,0.00188695183775581,13.0481339225346
-90,6.352,0.00144117072836364,172.686488895977,0.00188750685773135,10.3534367773691
-90,6.353,0.00144148494793881,170.013612551321,0.00188805795113675,7.65872210111635
-90,6.354,0.00144179694989936,167.340713736526,0.00188860511511003,4.96399004242256
-90,6.355,0.00144210673322161,164.66779262533,0.00188914834854785,2.26924073751647
-90,6.356,0.00144241429706571,161.994849401427,0.00188968764903033,-0.425525672577923
-90,6.357,0.00144271963785039,159.321884212999,0.00189022301525112,-3.12030904993006
-90,6.358,0.00144302275546916,156.648897248932,0.00189075444616219,-5.81510925649497
-90,6.359,0.00144332364935145,153.975888697341,0.00189128193884175,-8.50992615391106
-90,6.36,0.0014436223159219,151.302858692918,0.00189180549213102,-11.2047596027796
-90,6.361,0.00144391875593962,148.629807454501,0.00189232510501239,-13.8996094638408
-90,6.362,0.00144421296639789,145.956735116853,0.0018928407746626,-16.5944756092262
-90,6.363,0.00144450494593244,143.283641853717,0.00189335250077715,-19.2893578847128
-90,6.364,0.00144479469427752,140.610527862104,0.00189386028078672,-21.9842561663806
-90,6.365,0.00144508220956419,137.937393308749,0.0018943641126056,-24.679170321307
-90,6.366,0.0014453674900762,135.264238330153,0.0018948639964508,-27.3741001933077
-90,6.367,0.00144565053415014,132.59106316509,0.00189535992872155,-30.0690456745409
-90,6.368,0.00144593134140711,129.917867923053,0.00189585190904989,-32.7640066162167
-90,6.369,0.00144620991008066,127.244652796485,0.00189633993643364,-35.458982843972
-90,6.37,0.00144648623933209,124.571417942335,0.0018968240072488,-38.1539742969466
-90,6.371,0.00144676032661563,121.898163561052,0.00189730412232784,-40.8489807658198
-90,6.372,0.00144703217147475,119.224889806802,0.00189778027833739,-43.5440021949366
-90,6.373,0.00144730177343471,116.551596833505,0.0018982524751533,-46.2390383883907
-90,6.374,0.00144756912949126,113.878284840844,0.00189872070975461,-48.9340892151779
-90,6.375,0.0014478342388722,111.204953993097,0.00189918498267558,-51.6291545495295
-90,6.376,0.00144809710062804,108.531604447763,0.00189964529046591,-54.3242342826528
-90,6.377,0.00144835771394737,105.858236368397,0.0019001016336953,-57.0193282581353
-90,6.378,0.00144861607727441,103.184849939454,0.00190055400850657,-59.7144363474317
-90,6.379,0.00144887218932004,100.511445319135,0.00190100241528338,-62.4095584110764
-90,6.38,0.00144912604806933,97.8380226884982,0.00190144685171527,-65.1046943156814
-90,6.381,0.00144937765391229,95.1645822055132,0.001901887317562,-67.7998439437337
-90,6.382,0.0014496270048855,92.4911240394653,0.00190232381024778,-70.4950071472014
-90,6.383,0.00144987409970386,89.8176483633125,0.00190275632861942,-73.1901837952422
-90,6.384,0.00145011893681515,87.1441553425385,0.00190318487122522,-75.8853737574972
-90,6.385,0.00145036151558496,84.4706451456212,0.00190360943799022,-78.5805769122097
-90,6.386,0.0014506018346024,81.7971179359006,0.00190403002583787,-81.2757931134636
-90,6.387,0.00145083989307427,79.1235738848489,0.00190444663411818,-83.9710222369025
-90,6.388,0.00145107569035989,76.4500131629516,0.00190485926174529,-86.6662641499361
-90,6.389,0.00145130922353858,73.7764359261759,0.00190526790773665,-89.3615187205294
-90,6.39,0.00145154049381112,71.1028423589514,0.00190567256955807,-92.0567858199312
-90,6.391,0.00145176949798276,68.4292326025479,0.00190607324732441,-94.7520653162505
-90,6.392,0.00145199623692917,65.7556068588549,0.00190646993891258,-97.4473570790809
-90,6.393,0.00145222070769332,63.0819652542365,0.0019068626440477,-100.14266097824
-90,6.394,0.00145244291108182,60.4083079973501,0.00190725136026943,-102.837976884876
-90,6.395,0.00145266284420855,57.7346352171206,0.00190763608677561,-105.533304667002
