inc_ang_deg,n_tags,std_mean_dB,std_median_dB,span_mean_dB
66.801409,1,0.12633005935357,0.12633005935357,0.232495861858276
49.398705,1,0.0273327761857829,0.0273327761857829,0.0489195001265728
37.874984,1,0.901520203515381,0.901520203515381,1.57174981599996
30.256437,1,1.76638775232769,1.76638775232769,3.16696098595039
25.016893,1,1.90068563790072,1.90068563790072,3.60332620871748
21.250506,1,0.739382692928456,0.739382692928456,1.42406250570301
18.434949,4,1.1324246215359,0.675256319291855,2.10826257921948
59.036243,1,0.0794201492269894,0.0794201492269894,0.154089008358781
39.805571,1,0.144044264139727,0.144044264139727,0.288038148812191
29.054604,1,1.19058093391427,1.19058093391427,2.06470694994898
22.619865,1,1.44005310031919,1.44005310031919,2.81262979831651
15.524111,1,0.467264518240283,0.467264518240283,0.897482636632787
13.392498,1,1.97359081464687,1.97359081464687,3.68484484403776
45,1,0.70684316625457,0.70684316625457,1.33461452338418
26.565051,1,0.3046478500651,0.3046478500651,0.590117932420242
14.036243,1,1.63077255226409,1.63077255226409,2.99426344273873
11.309932,1,0.939428872113255,0.939428872113255,1.8160976241802
9.462322,2,0.523963263726606,0.523963263726606,0.944854130000696
8.130102,1,0.776162961423093,0.776162961423093,1.36141968051499
6.340192,1,4.13248226154113,4.13248226154113,7.17951226998368
4.763642,1,3.11009486212974,3.11009486212974,5.44814970643742
3.814075,1,0.748090856532591,0.748090856532591,1.3947622978686
3.17983,1,1.19241366658412,1.19241366658412,2.32250799643516
2.726311,1,2.90814089511834,2.90814089511834,5.6005415674488
-18.434949,4,1.17719684765203,0.271308745135617,2.13812943225944
-9.462322,2,0.717738914053008,0.717738914053008,1.38877798960662
-6.340192,1,1.46405976382628,1.46405976382628,2.56165984202857
-4.763642,1,0.63717845968533,0.63717845968533,1.12562349937281
-3.814075,1,0.521517813599726,0.521517813599726,0.963888409116024
-3.17983,1,0.627000946956797,0.627000946956797,1.11822911367918
-2.726311,1,1.99372348968974,1.99372348968974,3.81922204080161
-45,1,0.0488890670758209,0.0488890670758209,0.0860523789321874
-26.565051,1,0.198566181359521,0.198566181359521,0.3632672664437
-14.036243,1,1.15274369638555,1.15274369638555,1.99766784998503
-11.309932,1,1.26603417426117,1.26603417426117,2.52378361959538
-8.130102,1,1.35659480064511,1.35659480064511,2.69975982378011
-59.036243,1,0.190031310552756,0.190031310552756,0.359614329017873
-39.805571,1,1.32886532808856,1.32886532808856,2.37502941325814
-29.054604,1,1.41186214459702,1.41186214459702,2.47237004171176
-22.619865,1,0.574138952613136,0.574138952613136,1.11586066575139
-15.524111,1,2.14377602946172,2.14377602946172,4.27227304862016
-13.392498,1,5.08864525640054,5.08864525640054,9.36793502980394
-66.801409,1,0.456055035621849,0.456055035621849,0.896194315725161
-49.398705,1,6.72041644714209,6.72041644714209,11.7676212443176
-37.874984,1,2.86694695229376,2.86694695229376,5.11111821841863
-30.256437,1,1.36292026036609,1.36292026036609,2.46689771162604
-25.016893,1,1.3415771745895,1.3415771745895,2.6644337264567
-21.250506,1,0.400549224650379,0.400549224650379,0.793894120324872
