scenario,n_tags,zero_rx2_rows,rssd_min_dB,rssd_max_dB,rssd_mean_dB
caseA,56,0,-12.696024557174,12.8490213620746,-0.00371545148720921
caseB,56,0,-11.8163236200064,12.6267345195739,0.101736714978828
caseC,56,0,-11.5599268053082,13.1141488412268,0.56783784510782
