Scenario,CP_S1_RMSE_m,LP_S1_RMSE_m,Delta_S1_m,CP_S2_RMSE_deg,LP_S2_RMSE_deg,Delta_S2_deg,CP_S4_RMSE_m,LP_S4_RMSE_m,Delta_S4_m,CP_DoA_Corr,LP_DoA_Corr
A,0.330379771403283,0.36806657933039,0.0376868079271068,13.5438927279385,14.8355900594974,1.2916973315589,0.4705287300822,0.756514168919556,0.285985438837356,0.905565493099546,0.968321912766835
B,0.329396446371854,0.382875686531373,0.0534792401595197,10.4652731221856,14.9911490085248,4.52587588633915,0.528912993196176,0.780638851617483,0.251725858421307,0.933844703511786,0.956498631815091
C,0.39706193635643,0.427454487469098,0.0303925511126684,12.2707849780551,17.7045634340095,5.43377845595436,0.748320328977524,0.97215589159373,0.223835562616206,0.901654565181588,0.880331829831957
