scenario,n_tags,corr_sim_vs_guide,rmse_db,mae_db
A,56,-0.7599080335582733,8.630173819710249,7.264828005076879
B,56,-0.6864970860505158,8.567955044834388,7.368641263998491
C,56,-0.41025325499089466,8.616795361922845,7.350309008584184
ALL,168,-0.6006697502460762,8.605016291248772,7.327926092553184
