Polarization,Scenario,Ranging_RMSE_m,DoA_RMSE_deg,MRR_mean_dB,Pos_RMSE_m,Pos_CEP67_m,Pos_CEP95_m
CP,A,0.216376871598692,10.3311590858291,-3.12611418990125,0.44120210549521,0.313902508858538,0.927499572067776
CP,B,0.22609481529754,10.5146477033999,-3.27464009339297,0.472546094634782,0.383212197649901,0.965266266877457
CP,C,0.289197199144803,13.7112862646531,-3.95127542692373,0.7472270648988,0.647029070898454,1.54014366174423
LP,A,0.361543919031025,61.3894719034983,-3.71454703417471,NaN,NaN,NaN
LP,B,0.342006138604698,64.094750696003,-3.87152322127083,NaN,NaN,NaN
LP,C,0.456620274010267,58.4245858711342,-4.4148269162917,NaN,NaN,NaN
