Threshold,SearchStart_m,Polarization,Scenario,Ranging_RMSE_m,Ranging_Bias_m,Ranging_MAE_m,Ranging_P90AbsErr_m
0.05,0.4,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.05,0.4,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.05,0.4,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.05,0.5,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.05,0.5,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.05,0.5,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.05,0.5,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.05,0.5,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.05,0.5,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.07,0,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.07,0,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.07,0,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.07,0,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.07,0,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.07,0,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.07,0.1,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.07,0.1,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.07,0.1,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.07,0.1,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.07,0.1,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.07,0.1,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.07,0.2,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.07,0.2,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.07,0.2,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.07,0.2,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.07,0.2,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.07,0.2,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.07,0.3,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.07,0.3,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.07,0.3,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.07,0.3,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.07,0.3,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.07,0.3,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.07,0.4,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.07,0.4,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.07,0.4,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.07,0.4,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.07,0.4,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.07,0.4,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.07,0.5,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.07,0.5,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.07,0.5,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.07,0.5,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.07,0.5,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.07,0.5,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.1,0,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.1,0,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.1,0,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.1,0,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.1,0,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.1,0,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.1,0.1,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.1,0.1,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.1,0.1,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.1,0.1,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.1,0.1,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.1,0.1,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.1,0.2,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.1,0.2,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.1,0.2,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.1,0.2,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.1,0.2,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.1,0.2,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.1,0.3,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.1,0.3,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.1,0.3,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.1,0.3,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.1,0.3,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.1,0.3,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.1,0.4,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.1,0.4,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.1,0.4,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.1,0.4,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.1,0.4,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.1,0.4,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.1,0.5,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.1,0.5,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.1,0.5,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.1,0.5,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.1,0.5,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.1,0.5,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.12,0,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.12,0,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.12,0,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.12,0,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.12,0,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.12,0,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.12,0.1,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.12,0.1,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.12,0.1,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.12,0.1,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.12,0.1,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.12,0.1,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.12,0.2,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.12,0.2,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.12,0.2,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.12,0.2,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.12,0.2,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.12,0.2,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.12,0.3,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.12,0.3,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.12,0.3,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.12,0.3,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.12,0.3,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.12,0.3,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.12,0.4,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.12,0.4,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.12,0.4,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.12,0.4,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.12,0.4,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.12,0.4,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.12,0.5,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.12,0.5,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.12,0.5,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.12,0.5,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.12,0.5,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.12,0.5,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.15,0,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.15,0,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.15,0,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.15,0,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.15,0,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.15,0,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.15,0.1,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.15,0.1,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.15,0.1,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.15,0.1,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.15,0.1,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.15,0.1,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.15,0.2,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.15,0.2,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.15,0.2,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.15,0.2,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.15,0.2,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.15,0.2,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.15,0.3,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.15,0.3,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.15,0.3,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.15,0.3,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.15,0.3,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.15,0.3,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.15,0.4,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.15,0.4,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.15,0.4,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.15,0.4,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.15,0.4,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.15,0.4,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.15,0.5,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.15,0.5,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.15,0.5,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.15,0.5,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.15,0.5,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.15,0.5,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.2,0,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.2,0,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.2,0,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.2,0,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.2,0,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.2,0,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.2,0.1,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.2,0.1,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.2,0.1,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.2,0.1,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.2,0.1,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.2,0.1,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.2,0.2,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.2,0.2,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.2,0.2,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.2,0.2,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.2,0.2,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.2,0.2,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.2,0.3,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.2,0.3,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.2,0.3,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.2,0.3,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.2,0.3,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.2,0.3,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.2,0.4,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.2,0.4,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.2,0.4,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.2,0.4,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.2,0.4,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.2,0.4,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
0.2,0.5,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.2,0.5,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.2,0.5,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.2,0.5,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.2,0.5,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.2,0.5,LP,C,0.694822316757637,0.510805838590727,0.516234819632777,1.19984302191569
