Agg_Window_ns,Delta_MRR_Avg_dB,Delta_MRR_Min_dB,Delta_MRR_Max_dB,Delta_Sharpness_Avg_dB
1,2.17722953359345,1.80119774273078,2.45572725459153,3.29371350969977
1.5,2.14152824192716,1.77440112328212,2.40952692331904,3.29371350969977
2,2.06718948749814,1.68016417329767,2.33744752473214,3.29371350969977
3,1.73059176734897,1.25261808178414,2.06401144588684,3.29371350969977
5,0.728125211583873,0.201722640163533,1.15792923887121,3.29371350969977
7,0.184385029746338,-0.165662636013407,0.427244608546781,3.29371350969977
10,-0.33451223220033,-0.389219145997357,-0.234374893794005,3.29371350969977
