Polarization,Scenario,Ranging_RMSE_m,DoA_RMSE_deg,MRR_mean_dB,Pos_RMSE_m,Pos_CEP67_m,Pos_CEP95_m
CP,A,0.216376871598692,9.84188873191511,-3.12611418990125,0.421508026703037,0.311894182085884,0.853727236400186
CP,B,0.22609481529754,10.0859532074219,-3.27464009339297,0.462855450401155,0.397905595915368,0.927294439684613
CP,C,0.289197199144803,13.2529736217019,-3.95127542692373,0.735541433999653,0.592719655707949,1.49662502341757
LP,A,0.361543919031025,64.3858338344361,-3.71454703417471,NaN,NaN,NaN
LP,B,0.342006138604698,58.4291742726386,-3.87152322127083,NaN,NaN,NaN
LP,C,0.456620274010267,59.4998107515983,-4.4148269162917,NaN,NaN,NaN
