GuideTag,Mode,LambdaCont,Scenario,DoA_RMSE_Stage2,DoA_RMSE_Selected,Pos_RMSE,UsedJointRatio,MeanCandCount
default_step3,single,0,A,34.7737250090026,34.7737250090026,2.17989872759367,0,0
default_step3,single,0,B,39.5737453672652,39.5737453672652,2.45733827976995,0,0
default_step3,single,0,C,47.3558514338914,47.3558514338914,3.20011814360107,0,0
default_step3,joint_wls,0,A,34.7737250090026,35.4680582194578,2.18784626600291,1,1.98214285714286
default_step3,joint_wls,0,B,39.5737453672652,39.9939732988847,2.46554936566143,1,2
default_step3,joint_wls,0,C,47.3558514338914,46.7943568341258,3.13555535088846,1,2
default_step3,joint_wls,0.02,A,34.7737250090026,30.1559379962419,1.69778787927025,1,1.98214285714286
default_step3,joint_wls,0.02,B,39.5737453672652,30.7094230292443,1.78475031841401,1,2
default_step3,joint_wls,0.02,C,47.3558514338914,31.4447144931847,1.8484424490022,1,2
default_step3,joint_wls,0.05,A,34.7737250090026,30.1559379962419,1.69778787927025,1,1.98214285714286
default_step3,joint_wls,0.05,B,39.5737453672652,30.7094230292443,1.78475031841401,1,2
default_step3,joint_wls,0.05,C,47.3558514338914,31.4447144931847,1.8484424490022,1,2
default_step3,joint_wls,0.1,A,34.7737250090026,30.1559379962419,1.69778787927025,1,1.98214285714286
default_step3,joint_wls,0.1,B,39.5737453672652,30.7094230292443,1.78475031841401,1,2
default_step3,joint_wls,0.1,C,47.3558514338914,31.4447144931847,1.8484424490022,1,2
default_step3,joint_wls,0.2,A,34.7737250090026,30.1559379962419,1.69778787927025,1,1.98214285714286
default_step3,joint_wls,0.2,B,39.5737453672652,30.7094230292443,1.78475031841401,1,2
default_step3,joint_wls,0.2,C,47.3558514338914,31.4447144931847,1.8484424490022,1,2
default_step3,joint_wls,0.5,A,34.7737250090026,30.1559379962419,1.69778787927025,1,1.98214285714286
default_step3,joint_wls,0.5,B,39.5737453672652,30.7094230292443,1.78475031841401,1,2
default_step3,joint_wls,0.5,C,47.3558514338914,31.4447144931847,1.8484424490022,1,2
default_step3,joint_wls,1,A,34.7737250090026,30.1559379962419,1.69778787927025,1,1.98214285714286
default_step3,joint_wls,1,B,39.5737453672652,30.7094230292443,1.78475031841401,1,2
default_step3,joint_wls,1,C,47.3558514338914,31.4447144931847,1.8484424490022,1,2
height1m_23R1,single,0,A,28.1206680252536,28.1206680252536,1.80089933278436,0,0
height1m_23R1,single,0,B,27.1939618476886,27.1939618476886,1.59012333377501,0,0
height1m_23R1,single,0,C,35.1084839312335,35.1084839312335,2.41285798767575,0,0
height1m_23R1,joint_wls,0,A,28.1206680252536,30.644527470504,2.01420598126622,1,3.01785714285714
height1m_23R1,joint_wls,0,B,27.1939618476886,26.9972609905374,1.59217845825686,1,3
height1m_23R1,joint_wls,0,C,35.1084839312335,33.5343441591706,2.27643178028748,1,3.01785714285714
height1m_23R1,joint_wls,0.02,A,28.1206680252536,27.0553725541609,1.85666490057557,1,3.01785714285714
height1m_23R1,joint_wls,0.02,B,27.1939618476886,23.9302315080695,1.69663191016407,1,3
height1m_23R1,joint_wls,0.02,C,35.1084839312335,24.0059776566905,1.56669947592351,1,3.01785714285714
height1m_23R1,joint_wls,0.05,A,28.1206680252536,21.1190283428377,1.29630049520115,1,3.01785714285714
height1m_23R1,joint_wls,0.05,B,27.1939618476886,23.9302315080695,1.69663191016407,1,3
height1m_23R1,joint_wls,0.05,C,35.1084839312335,24.0059776566905,1.56669947592351,1,3.01785714285714
height1m_23R1,joint_wls,0.1,A,28.1206680252536,21.1190283428377,1.29630049520115,1,3.01785714285714
height1m_23R1,joint_wls,0.1,B,27.1939618476886,23.9302315080695,1.69663191016407,1,3
height1m_23R1,joint_wls,0.1,C,35.1084839312335,24.0059776566905,1.56669947592351,1,3.01785714285714
height1m_23R1,joint_wls,0.2,A,28.1206680252536,21.1190283428377,1.29630049520115,1,3.01785714285714
height1m_23R1,joint_wls,0.2,B,27.1939618476886,23.9302315080695,1.69663191016407,1,3
height1m_23R1,joint_wls,0.2,C,35.1084839312335,24.0059776566905,1.56669947592351,1,3.01785714285714
height1m_23R1,joint_wls,0.5,A,28.1206680252536,21.1190283428377,1.29630049520115,1,3.01785714285714
height1m_23R1,joint_wls,0.5,B,27.1939618476886,23.9302315080695,1.69663191016407,1,3
height1m_23R1,joint_wls,0.5,C,35.1084839312335,24.0059776566905,1.56669947592351,1,3.01785714285714
height1m_23R1,joint_wls,1,A,28.1206680252536,21.1190283428377,1.29630049520115,1,3.01785714285714
height1m_23R1,joint_wls,1,B,27.1939618476886,23.9302315080695,1.69663191016407,1,3
height1m_23R1,joint_wls,1,C,35.1084839312335,24.0059776566905,1.56669947592351,1,3.01785714285714
