Mode,LambdaCont,Scenario,DoA_RMSE_Stage2,DoA_RMSE_Selected,Pos_RMSE,UsedJointRatio
single,0,A,13.5438927279385,13.5438927279385,0.720727885760376,0
single,0,B,10.4652731221856,10.4652731221856,0.588242299738293,0
single,0,C,12.2707849780551,12.2707849780551,0.735837550428051,0
joint_wls,0.05,A,13.5438927279385,9.18285018758333,0.4705287300822,1
joint_wls,0.05,B,10.4652731221856,9.73611917447036,0.528912993196176,1
joint_wls,0.05,C,12.2707849780551,12.9174129951708,0.748320328977524,1
