polarization,mean_std_dB,median_std_dB,p90_std_dB,mean_span_dB
CP,1.28713667123033,0.920474537814318,2.90596817238259,2.3672593089245
LP,1.29103740875015,1.12672446571608,2.51016690686309,2.37843220110758
