GuideType,Scenario,N,RMSE,MAE,Bias,STD,P90Abs,R2,Corr
OLD,A,56,2.77628243119637,1.6953810501088,0.155943678167984,2.79698486878771,4.62162706229988,0.876028167898999,0.964855443274788
OLD,B,56,2.86401696287725,1.78246015605214,0.27358470247457,2.87672065871841,4.7015320974319,0.870593205810471,0.960687937059083
OLD,C,56,4.15392262618462,3.06477502029669,0.262031132336067,4.18316783120346,6.51223069484955,0.676040889254085,0.908935780139244
OLD,ALL,168,3.32492658995387,2.18087207548588,0.23051983765954,3.32684199462156,5.23354589104363,0.814543269763617,0.945069720894442
NEW,A,56,1.27254345019801,0.840502077008976,-0.234895135952373,1.26199482806803,2.09609375791013,0.973954003986399,0.988101468542703
NEW,B,56,1.49760100010297,1.06548390172436,-0.117254111645788,1.50651538213459,2.0522921525462,0.964616715075312,0.982852804528279
NEW,C,56,3.12209186419491,2.1979570141098,-0.128807681784291,3.14766437686677,4.95387151416217,0.816994244814789,0.923061914402526
NEW,ALL,168,2.12991652392164,1.36798099761438,-0.160318976460818,2.13022375724861,3.03076264927831,0.923896673208763,0.965052881993562
