Threshold,SearchStart_m,Mean_RMSE_m,Mean_Bias_m,AbsMean_Bias_m,Mean_MAE_m,Mean_P90AbsErr_m,LP_minus_CP_RMSE_m,LP_minus_CP_Bias_m
0.03,0,0.522267081614306,0.2743491037972,0.2743491037972,0.386971766637974,0.855353805931088,0.339975393807568,0.237274169921875
0.03,0.1,0.522267081614306,0.2743491037972,0.2743491037972,0.386971766637974,0.855353805931088,0.339975393807568,0.237274169921875
0.03,0.2,0.522267081614306,0.2743491037972,0.2743491037972,0.386971766637974,0.855353805931088,0.339975393807568,0.237274169921875
0.03,0.3,0.522267081614306,0.2743491037972,0.2743491037972,0.386971766637974,0.855353805931088,0.339975393807568,0.237274169921875
0.03,0.4,0.522267081614306,0.2743491037972,0.2743491037972,0.386971766637974,0.855353805931088,0.339975393807568,0.237274169921875
0.03,0.5,0.522267081614306,0.2743491037972,0.2743491037972,0.386971766637974,0.855353805931088,0.339975393807568,0.237274169921875
0.05,0,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.05,0.1,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.05,0.2,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.05,0.3,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.05,0.4,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.05,0.5,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.07,0,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.07,0.1,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.07,0.2,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.07,0.3,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.07,0.4,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.07,0.5,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.1,0,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.1,0.1,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.1,0.2,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.1,0.3,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.1,0.4,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.1,0.5,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.12,0,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.12,0.1,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.12,0.2,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.12,0.3,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.12,0.4,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.12,0.5,0.445101388395063,0.332986450337378,0.332986450337378,0.340356337398524,0.779152170459037,0.402423519429437,0.243813650948661
0.15,0,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.15,0.1,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.15,0.2,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.15,0.3,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.15,0.4,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.15,0.5,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.2,0,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.2,0.1,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.2,0.2,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.2,0.3,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.2,0.4,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
0.2,0.5,0.446875349567224,0.33674665192778,0.33674665192778,0.34229257318547,0.779152170459037,0.405971441773758,0.251334054129464
