inc_ang_deg,n_tags,std_mean_dB,std_median_dB,span_mean_dB
66.801409,1,0.114612668080547,0.114612668080547,0.229191593766537
49.398705,1,0.0823934404642618,0.0823934404642618,0.163521895276858
37.874984,1,2.0757958988918,2.0757958988918,3.62503891113766
30.256437,1,0.33551273090338,0.33551273090338,0.656492956219203
25.016893,1,0.702949562800627,0.702949562800627,1.40156938643351
21.250506,1,2.19753628855113,2.19753628855113,3.83662754224252
18.434949,4,1.65226379505698,0.942303736055532,3.04544875142472
59.036243,1,0.0371000574037084,0.0371000574037084,0.0679791995255954
39.805571,1,0.208498665404896,0.208498665404896,0.408725421066578
29.054604,1,1.23157255160099,1.23157255160099,2.17054616360362
22.619865,1,1.90323089980802,1.90323089980802,3.51695214958448
15.524111,1,2.53134321741843,2.53134321741843,4.97564992656671
13.392498,1,1.57573856913769,1.57573856913769,2.94407107795529
45,1,0.284444795702504,0.284444795702504,0.568125872001822
26.565051,1,0.281332721029431,0.281332721029431,0.560404396666215
14.036243,1,1.92319728282121,1.92319728282121,3.58881444177585
11.309932,1,2.58632555100842,2.58632555100842,4.71692854456275
9.462322,2,2.17377670500578,2.17377670500578,3.89733388419139
8.130102,1,1.67985085957446,1.67985085957446,3.27617508290598
6.340192,1,5.56873044816396,5.56873044816396,9.8677002371623
4.763642,1,1.75882875604849,1.75882875604849,3.50017550134859
3.814075,1,1.11951108417136,1.11951108417136,2.10657633984128
3.17983,1,1.31966303083115,1.31966303083115,2.31330030075104
2.726311,1,1.97250014942117,1.97250014942117,3.86226177056233
-18.434949,4,0.822088005026318,0.654658478768938,1.54270219602056
-9.462322,2,0.553508574888789,0.553508574888789,1.03446499785878
-6.340192,1,1.13393784726081,1.13393784726081,2.02077277913626
-4.763642,1,1.15235860376233,1.15235860376233,2.29666703287961
-3.814075,1,0.770678111043932,0.770678111043932,1.45874499925228
-3.17983,1,1.00094627205353,1.00094627205353,1.90214601859132
-2.726311,1,1.80198244637787,1.80198244637787,3.28283672166155
-45,1,0.104282251974117,0.104282251974117,0.202103904732127
-26.565051,1,0.343214889984468,0.343214889984468,0.604660881097963
-14.036243,1,0.507927579464624,0.507927579464624,0.900589539822512
-11.309932,1,0.981582973826058,0.981582973826058,1.81115931389642
-8.130102,1,0.0142250806493873,0.0142250806493873,0.0246804001862841
-59.036243,1,0.169243204780634,0.169243204780634,0.314484239747131
-39.805571,1,0.131939456238923,0.131939456238923,0.251945417223453
-29.054604,1,1.86161257897047,1.86161257897047,3.26004217031881
-22.619865,1,0.709493393282788,0.709493393282788,1.28630469059966
-15.524111,1,1.92743512493514,1.92743512493514,3.81375550893488
-13.392498,1,1.14480728768747,1.14480728768747,2.20645520484231
-66.801409,1,0.338125795691361,0.338125795691361,0.659526979764905
-49.398705,1,2.63204596332401,2.63204596332401,4.58761387318583
-37.874984,1,3.86229482752379,3.86229482752379,6.69448215075862
-30.256437,1,1.11728701787843,1.11728701787843,1.98518733698162
-25.016893,1,1.95206077560888,1.95206077560888,3.77171566897396
-21.250506,1,1.79796641832928,1.79796641832928,3.28329816459894
