tag_idx,x_m,y_m,range_m,inc_ang_deg,rssd_A_dB,rssd_B_dB,rssd_C_dB,std_across_scenarios_dB,span_across_scenarios_dB
1,0.75,-1.75,1.90394327646598,66.8014094863518,-8.24302238323915,-8.21243136886036,-8.01052652138087,0.12633005935357,0.232495861858276
2,1.5,-1.75,2.30488611432322,49.3987053549955,-10.8171568799888,-10.7682373798622,-10.8138254010945,0.0273327761857829,0.0489195001265728
3,2.25,-1.75,2.85043856274785,37.8749836510982,-10.4933131722158,-10.4725643446544,-8.92156335621582,0.901520203515381,1.57174981599996
4,3,-1.75,3.47311099736245,30.2564371635293,-10.776993600543,-11.00469178805,-7.83773080209956,1.76638775232769,3.16696098595039
5,3.75,-1.75,4.13823633931171,25.0168934781,-8.70446765304345,-9.45739444281045,-5.85406823409296,1.90068563790072,3.60332620871748
6,4.5,-1.75,4.82830197895699,21.2505055071332,-7.71815498100234,-8.08508511143526,-9.14221748670535,0.739382692928456,1.42406250570301
7,5.25,-1.75,5.53398590529466,18.434948822922,-6.44801341496792,-10.8526879593957,-5.41874377999729,2.88641366776088,5.43394417939842
8,0.75,-1.25,1.45773797371133,59.0362434679265,-9.8458436280287,-9.7354058095938,-9.69175461966992,0.0794201492269894,0.154089008358781
9,1.5,-1.25,1.95256241897666,39.8055710922652,-10.0305833858293,-9.89123000711637,-10.1792681559286,0.144044264139727,0.288038148812191
10,2.25,-1.25,2.57390753524675,29.0546040990771,-10.1176566587224,-10.1227867944348,-8.05807984448581,1.19058093391427,2.06470694994898
11,3,-1.25,3.25,22.6198649480404,-8.43718280940926,-9.30675381392763,-6.49412401561111,1.44005310031919,2.81262979831651
12,3.75,-1.25,3.95284707521047,18.434948822922,-7.30055841606554,-7.10439848745061,-6.72468392521228,0.292772179799003,0.575874490853259
13,4.5,-1.25,4.67038542306735,15.5241109967543,-6.53424930307687,-5.63676666644408,-5.85989309667468,0.467264518240283,0.897482636632787
14,5.25,-1.25,5.39675828623073,13.3924977537511,-6.78726894950293,-3.71944007756561,-3.10242410546518,1.97359081464687,3.68484484403776
15,0.75,-0.75,1.06066017177982,45,-11.5575360871752,-11.2939426356524,-10.2229215637911,0.70684316625457,1.33461452338418
16,1.5,-0.75,1.67705098312484,26.565051177078,-9.3624084956577,-9.19869471217199,-8.77229056323746,0.3046478500651,0.590117932420242
17,2.25,-0.75,2.37170824512628,18.434948822922,-7.05677681748934,-6.88168927216864,-5.14420807047198,1.05730914643757,1.91256874701735
18,3,-0.75,3.09232921921325,14.0362434679265,-5.67983097033684,-6.05712021248752,-3.06285676974879,1.63077255226409,2.99426344273873
19,3.75,-0.75,3.82426463519459,11.3099324740202,-5.11318678161555,-3.78809854469224,-3.29708915743535,0.939428872113255,1.8160976241802
20,4.5,-0.75,4.56207189772366,9.46232220802562,-4.8448952676251,-3.68113006093424,-3.62184698295601,0.689651004285354,1.22304828466909
21,5.25,-0.75,5.30330085889911,8.13010235415598,-4.564931029906,-4.59973904466287,-5.92635071042099,0.776162961423093,1.36141968051499
22,0.75,-0.25,0.790569415042095,18.434948822922,-6.1723175497749,-6.16663067860646,-5.66165465016599,0.293203492146145,0.510662899608903
23,1.5,-0.25,1.52069063257455,9.46232220802562,-4.26818258671884,-4.16235514732645,-4.82901512265875,0.358275523167857,0.666659975332301
24,2.25,-0.25,2.26384628453435,6.34019174590991,-3.04480375262017,-3.00091586105218,4.13470851736351,4.13248226154113,7.17951226998368
25,3,-0.25,3.01039864469807,4.76364169072618,-2.55205809698437,-2.42727521207586,2.89609160945305,3.11009486212974,5.44814970643742
26,3.75,-0.25,3.75832409459323,3.81407483429035,-2.66975868974855,-3.83607308362954,-2.44131078576094,0.748090856532591,1.3947622978686
27,4.5,-0.25,4.50693909432999,3.17983011986423,-2.91186648395871,-1.28155117669852,-3.60405917313368,1.19241366658412,2.32250799643516
28,5.25,-0.25,5.25594901040716,2.72631099390627,-2.51387403005024,-1.07275776698847,-6.67329933443727,2.90814089511834,5.6005415674488
