Polarization,Scenario,Ranging_RMSE_m,Ranging_RMSE_Debiased_m,Ranging_Bias_m,Ranging_RMSE_Rx2_m,Ranging_RMSE_Debiased_Rx2_m,DoA_RMSE_deg,DoA_Bias_deg,DoA_Corr_RSSD_vs_GT,DoA_Corr_Est_vs_GT,MRR_mean_dB,FP_Sharpness_mean_dB,Pos_RMSE_m,Pos_P90_m,Pos_CEP67_m,Pos_CEP95_m,Pos_Approx_RMSE_m,LoS_Count,NLoS_Count
CP,A,0.330379771403283,0.300452373689016,0.137401471961262,0.531968311403251,0.52608869574243,10.3314328814976,0.82765732653038,0.944845882145055,0.944466018730782,-3.09245578815627,26.8879084034237,0.504977616191642,0.899719617297198,0.470614790753669,0.961694179266455,0.495012961356373,56,0
CP,B,0.329396446371854,0.288850000983464,0.158327811246977,0.364185158786235,0.28478991811685,10.5149608747656,1.11975340239653,0.940273542573664,0.940239444029312,-3.26719879540825,26.4923828795692,0.50665975587063,0.81843872407208,0.507956333053383,0.95880092992684,0.517829688427153,35,21
CP,C,0.39706193635643,0.358159042004822,0.171406773300548,0.554480746051046,0.542801471006423,13.7115710312725,1.04091917538837,0.891456005903226,0.890081874254435,-3.95893218959558,24.3461100143249,0.766996113140736,1.3212627735096,0.68213943117887,1.4704527860603,0.768631889588557,21,35
LP,A,0.69660027280068,0.553079107815306,0.423503766883137,0.457226336507853,0.348773440365464,28.1206680252536,10.3680944960721,0.815206238841311,0.593939875750798,-4.02696637248469,23.3980542772938,1.80089933278436,3.06111540467285,1.13669241475466,4.35683222880051,1.89618752074906,56,0
LP,B,0.667038511903204,0.575158092544116,0.337836565432244,0.524759839109363,0.374177902774673,27.1939618476886,8.00903805527017,0.813584204035693,0.541369478633896,-4.46162003410318,22.2335344359975,1.59012333377501,2.05529923839994,1.05826401077335,2.94643017786369,1.68507401645031,35,21
LP,C,0.713125550850386,0.57805108938623,0.41761823395903,0.570979735411612,0.481150596164196,35.1084839312335,15.3841794244192,0.616970846977755,0.42141160740814,-4.11120866222628,21.8342077389938,2.41285798767575,4.26303066444734,1.78288914362972,5.77037859856536,2.46268900055311,21,35
